date,tk,px,sl,tp,initial_sl,tp1_price,last_px,status,tag,entry_metric,curr_metric,sources,sector,mcap,feature_score,features,partial_tp_hit,close_date
2026-03-30,2229.T,3085.0,3085.0,3277.95,3042.12,3149.32,2984.5,✅ TRAIL EXIT,🏆 VCP 突破,,RS: 64,['TOPIX_Mid400_中型'],Consumer Defensive,349869047808,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 50.9}",True,2026-04-22
2026-04-01,4565.T,1015.0,950.14,1209.57,950.14,1112.29,950.14,❌ STOP LOSS,⚡ 缺口動能,RS: 76,RS: 64,['TOPIX_Small500_小型'],Healthcare,80906878976,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 59.4}",False,2026-04-23
2026-04-01,5832.T,3072.0,2911.3,3554.1,2911.3,3313.05,2911.3,❌ STOP LOSS,⚡ 缺口動能,RS: 95,RS: 92,['TOPIX_Mid400_中型'],Financial Services,610449227776,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 65.8}",False,2026-04-21
2026-04-03,7745.T,2669.0,2669.0,3023.21,2590.29,2787.07,3023.21,✅ MAX TP,💥 BB 擠壓,,RS: 93,['TOPIX_Small500_小型'],Technology,88734916608,0,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 54.2}",True,2026-04-15
2026-04-10,6101.T,4240.0,4240.0,4989.8,3990.07,4614.89,4989.8,✅ MAX TP,⚡ 缺口動能,RS: 97,RS: 97,['TOPIX_Small500_小型'],Industrials,287524061184,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 78.4}",True,2026-04-21
2026-04-10,6474.T,4960.0,4787.5,5736.25,4787.5,5218.75,4787.5,❌ STOP LOSS,🏆 VCP 突破,,RS: 87,['TOPIX_Small500_小型'],Industrials,129687601152,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 62.2}",False,2026-04-17
2026-04-10,6481.T,5635.45,5364.09,6449.54,5364.09,6042.49,5364.09,❌ STOP LOSS,⚡ 缺口動能,RS: 91,RS: 90,['TOPIX_Mid400_中型'],Industrials,860614754304,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 78.2}",False,2026-04-23
2026-04-17,UNF,262.78,256.58,281.37,256.58,272.07,256.58,❌ STOP LOSS,💥 BB 擠壓,,RS: 91,['S&P600_小型'],Industrials,5242601472,1,"{'mss': True, 'smc': False, 'amd': False, 'ml_rsi': 80.0}",False,2026-04-28
2026-04-17,USFD,93.69,90.26,103.97,90.26,98.84,90.26,❌ STOP LOSS,🏆 VCP 突破,,RS: 81,['S&P400_中型'],Consumer Defensive,22130073600,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 58.0}",False,2026-04-28
2026-04-17,6140.T,1332.0,1245.43,1591.71,1245.43,1461.86,1245.43,❌ STOP LOSS,⚡ 缺口動能,RS: 94,RS: 93,['TOPIX_Small500_小型'],Industrials,57571254272,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 60.9}",False,2026-05-19
2026-04-20,CC,23.24,23.24,27.76,21.73,25.5,27.76,✅ MAX TP,💥 BB 擠壓,,RS: 98,['S&P600_小型'],Basic Materials,2194010880,0,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 61.1}",True,2026-05-04
2026-04-21,7419.T,1280.0,1224.86,1445.43,1224.86,1362.71,1224.86,❌ STOP LOSS,⚡ 缺口動能,RS: 76,RS: 76,['TOPIX_Small500_小型'],Consumer Cyclical,376068341760,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 76.0}",False,2026-04-22
2026-04-24,4061.T,4084.0,4084.0,4835.71,3833.43,4459.86,3874.0,✅ TRAIL EXIT,⚡ 缺口動能,RS: 96,RS: 96,"['NK225', 'TOPIX_Mid400_中型']",Basic Materials,333851492352,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 62.3}",True,2026-05-13
2026-04-24,4971.T,9181.23,9181.23,11248.82,8492.04,10215.03,11248.82,✅ MAX TP,⚡ 缺口動能,RS: 99,RS: 98,['TOPIX_Small500_小型'],Basic Materials,170736943104,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 77.7}",True,2026-05-12
2026-04-28,5482.T,3005.0,2927.71,3352.79,2927.71,3120.93,2927.71,❌ STOP LOSS,🏆 VCP 突破,,,['TOPIX_Small500_小型'],Basic Materials,206232223744,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 54.1}",False,2026-04-29
2026-04-30,6651.T,4525.0,4525.0,4950.89,4430.36,4666.96,4950.89,✅ MAX TP,🏆 VCP 突破,,RS: 89,['TOPIX_Small500_小型'],Industrials,175269494784,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 53.0}",True,2026-05-12
2026-04-30,8002.T,6072.0,5923.0,6742.5,5923.0,6295.5,5923.0,❌ STOP LOSS,💥 BB 擠壓,,,['NK225'],Industrials,8009042886656,1,"{'mss': False, 'smc': False, 'amd': True, 'ml_rsi': 56.0}",False,2026-05-01
