mcap,sl,fx_entry,fx_exit,tk,days_held,sector,feature_score,px,tp1_price,entry_rs,curr_rs,status,curr_metric,date,tag,initial_sl,sources,period,close_date,features,tp,last_px,partial_tp_hit,entry_metric
13231816704,56.5,,,TTMI,21,Technology,,113.0,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,56.5,['S&P400_中型'],FWD,2026-04-01,,,97.08,False,RS: 99
5755433385984,4675.5,156.633,158.579,4062.T,21,Technology,,9351.01,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,4675.5,['TOPIX_Mid400_中型'],FWD,2026-04-01,,,8070.0,False,RS: 99
13870331904,12.31,,,HL,21,Basic Materials,,24.61,,99,99,✅ RS 換倉平倉,RS: 97,2026-03-02,🅱️ RS 核心,12.31,['S&P400_中型'],FWD,2026-04-01,,,19.17,False,RS: 99
8099500544,49.85,,,FORM,21,Technology,,99.7,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,49.85,['S&P600_小型'],FWD,2026-04-01,,,100.91,False,RS: 99
8366254981120,2357.6,156.633,158.579,5803.T,21,Industrials,,4715.21,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,2357.6,['NK225'],FWD,2026-04-01,,,4446.0,False,RS: 99
55818338304,162.85,,,TER,21,Technology,,325.71,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,162.85,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-04-01,,,312.08,False,RS: 99
6654276403200,1343.23,156.633,158.579,5802.T,21,Consumer Cyclical,,2686.45,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,1343.23,['NK225'],FWD,2026-04-01,,,2317.25,False,RS: 99
8601699328,17.67,,,VIAV,21,Technology,,35.35,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,17.67,['S&P400_中型'],FWD,2026-04-01,,,35.3,False,RS: 99
734074175488,3676.5,159.704,160.234,4385.T,1,Consumer Cyclical,2,3764.0,3939.0,,,❌ STOP LOSS,,2026-03-27,🏆 VCP 突破,3676.5,"['NK225', 'TOPIX_Mid400_中型']",FWD,2026-03-30,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 64.7, 'rv_pct': 0.169, 'bd_pct': 0.258}",,3676.5,False,
734074175488,3676.5,159.704,159.704,4385.T,1,Consumer Cyclical,2,3764.0,3939.0,,,❌ STOP LOSS,,2026-03-27,🏆 VCP 突破,3676.5,"['NK225', 'TOPIX_Mid400_中型']",FWD,2026-03-27,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 64.7, 'rv_pct': 0.169, 'bd_pct': 0.258}",,3676.5,False,
734074175488,3676.5,159.704,159.704,4385.T,1,Consumer Cyclical,2,3764.0,3939.0,,,❌ STOP LOSS,,2026-03-27,🏆 VCP 突破,3676.5,"['NK225', 'TOPIX_Mid400_中型']",FWD,2026-03-27,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 64.7, 'rv_pct': 0.169, 'bd_pct': 0.258}",,3676.5,False,
22208016384,197.73,,,RGLD,3,Basic Materials,1,214.31,230.89,,,❌ 觸發 3 日時間止損,RSI: 23,2026-03-20,📉 極度超賣,197.73,['S&P400_中型'],FWD,2026-03-25,"{'mss': False, 'smc': True, 'amd': False, 'ml_rsi': 10.0, 'rv_pct': 1.0, 'bd_pct': 0.833}",264.05,232.02,False,RSI: 10
405594996736,2058.7,157.924,159.234,5741.T,1,Basic Materials,0,2229.78,2400.86,,,❌ 觸發 5% 絕對止損,RSI: 22,2026-03-20,📉 極度超賣,2058.7,['TOPIX_Small500_小型'],FWD,2026-03-23,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 22.8, 'rv_pct': 0.861, 'bd_pct': 0.897}",2743.03,2106.73,False,RSI: 22
134967443456,92.27,,,NEM,3,Basic Materials,1,98.76,105.26,,,❌ 觸發 3 日時間止損,RSI: 11,2026-03-19,📉 極度超賣,92.27,['S&P500_大盤'],FWD,2026-03-20,"{'mss': False, 'smc': False, 'amd': True, 'ml_rsi': 12.6, 'rv_pct': 0.655, 'bd_pct': 0.306}",118.24,95.38,False,RSI: 12
22208016384,207.61,,,RGLD,3,Basic Materials,0,224.13,240.65,,,❌ 觸發 3 日時間止損,RSI: 10,2026-03-19,📉 極度超賣,207.61,['S&P400_中型'],FWD,2026-03-20,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 14.8, 'rv_pct': 0.929, 'bd_pct': 0.77}",273.69,214.31,False,RSI: 14
405594996736,2059.54,159.795,157.924,5741.T,3,Basic Materials,0,2229.78,2400.02,,,❌ 觸發 3 日時間止損,RSI: 22,2026-03-19,📉 極度超賣,2059.54,['TOPIX_Small500_小型'],FWD,2026-03-20,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 22.7, 'rv_pct': 0.506, 'bd_pct': 0.905}",2740.5,2229.78,False,RSI: 22
3109790976,134.13,,,TMDX,5,Healthcare,3,145.26,167.52,,,❌ STOP LOSS,RS: 92,2026-02-27,🏆 VCP 突破,134.13,['S&P600_小型'],FWD,2026-03-06,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 59.4, 'rv_pct': 0.075, 'bd_pct': 0.016}",,134.13,False,
55705784320,283.9,,,KEYS,9,Technology,2,301.48,336.64,,,❌ STOP LOSS,RS: 95,2026-02-24,⚡ 缺口動能,283.9,['S&P500_大盤'],FWD,2026-03-05,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 90.1, 'rv_pct': 0.611, 'bd_pct': 1.0}",354.21,283.9,False,RS: 95
219391410176,1538.36,156.989,157.773,1861.T,58,Industrials,1,1538.36,1619.87,,,✅ TRAIL EXIT,RS: 88,2026-01-05,💥 BB 擠壓,1497.6,['TOPIX_Small500_小型'],FWD,2026-03-04,"{'mss': False, 'smc': True, 'amd': False, 'ml_rsi': 53.7, 'rv_pct': 0.25, 'bd_pct': 0.716}",,1753.63,True,
2124925763584,3069.34,157.244,157.773,7012.T,23,Industrials,2,3369.58,3970.05,,,❌ STOP LOSS,RS: 93,2026-02-09,⚡ 缺口動能,3069.34,"['NK225', 'TOPIX_Mid400_中型']",FWD,2026-03-04,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 70.1, 'rv_pct': 0.742, 'bd_pct': 0.917}",4270.28,3069.34,False,RS: 92
479998672896,2398.08,156.633,157.773,1662.T,2,Energy,1,2623.92,3075.59,,,❌ STOP LOSS,RS: 95,2026-03-02,⚡ 缺口動能,2398.08,['TOPIX_Small500_小型'],FWD,2026-03-04,"{'mss': True, 'smc': False, 'amd': False, 'ml_rsi': 74.2, 'rv_pct': 0.706, 'bd_pct': 1.0}",3301.42,2398.08,False,RS: 95
85845647360,38.87,,,MNST,47,Consumer Defensive,0,38.87,40.68,,,✅ TRAIL EXIT,RS: 83,2026-01-14,💥 BB 擠壓,37.96,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-03-02,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 52.6, 'rv_pct': 0.302, 'bd_pct': 0.597}",,41.28,True,
254769070080,332.62,,,SNDK,19,Technology,,665.24,,100,100,✅ RS 換倉平倉,RS: 100,2026-02-02,🅱️ RS 核心,332.62,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-03-02,,,619.08,False,RS: 100
1466764623872,9851.61,155.202,156.633,5706.T,19,Industrials,,19703.21,,100,100,✅ RS 換倉平倉,RS: 100,2026-02-02,🅱️ RS 核心,9851.61,"['NK225', 'TOPIX_Mid400_中型']",FWD,2026-03-02,,,38500.64,False,RS: 100
79048572928,211.71,,,LITE,19,Technology,,423.42,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,211.71,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-03-02,,,783.25,False,RS: 99
641410859008,7259.37,155.202,156.633,6269.T,19,Energy,,14518.73,,99,99,✅ RS 換倉平倉,RS: 96,2026-02-02,🅱️ RS 核心,7259.37,['TOPIX_Mid400_中型'],FWD,2026-03-02,,,13578.53,False,RS: 99
168538456064,135.02,,,WDC,19,Technology,,270.03,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,135.02,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-03-02,,,269.88,False,RS: 99
12161595392,36.5,,,ARWR,19,Healthcare,,73.0,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,36.5,['S&P400_中型'],FWD,2026-03-02,,,64.33,False,RS: 99
5755433385984,3857.99,155.202,156.633,4062.T,19,Technology,,7715.98,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,3857.99,['TOPIX_Mid400_中型'],FWD,2026-03-02,,,9351.01,False,RS: 99
1148129771520,218.77,,,MU,19,Technology,,437.55,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,218.77,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-03-02,,,412.43,False,RS: 99
432634953728,3241.24,155.202,156.633,7003.T,19,Industrials,,6482.48,,99,99,✅ RS 換倉平倉,RS: 98,2026-02-02,🅱️ RS 核心,3241.24,['TOPIX_Mid400_中型'],FWD,2026-03-02,,,8073.56,False,RS: 99
26086068224,58.28,,,ECHO,19,Communication Services,,116.55,,99,99,✅ RS 換倉平倉,RS: 98,2026-02-02,🅱️ RS 核心,58.28,['S&P500_大盤'],FWD,2026-03-02,,,118.68,False,RS: 99
8693424128,82.68,,,VICR,19,Technology,,165.35,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,82.68,['S&P400_中型'],FWD,2026-03-02,,,209.19,False,RS: 99
556998328320,1426.37,155.202,156.633,3110.T,19,Consumer Cyclical,,2852.74,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,1426.37,['TOPIX_Small500_小型'],FWD,2026-03-02,,,5002.74,False,RS: 99
192786563072,215.94,,,STX,19,Technology,,431.89,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,215.94,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-03-02,,,378.59,False,RS: 99
264371224576,1615.18,155.202,156.633,1515.T,19,Basic Materials,,3230.36,,99,99,✅ RS 換倉平倉,RS: 98,2026-02-02,🅱️ RS 核心,1615.18,['TOPIX_Small500_小型'],FWD,2026-03-02,,,4158.23,False,RS: 99
13870331904,10.77,,,HL,19,Basic Materials,,21.54,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,10.77,['S&P400_中型'],FWD,2026-03-02,,,24.61,False,RS: 99
13231816704,51.38,,,TTMI,19,Technology,,102.76,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,51.38,['S&P400_中型'],FWD,2026-03-02,,,113.0,False,RS: 99
23900295528448,12135.98,155.202,156.633,6857.T,19,Technology,,24271.96,,99,99,✅ RS 換倉平倉,RS: 98,2026-02-02,🅱️ RS 核心,12135.98,['NK225'],FWD,2026-03-02,,,25764.93,False,RS: 99
10375767040,21.88,,,VSAT,19,Technology,,43.75,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,21.88,['S&P600_小型'],FWD,2026-03-02,,,47.24,False,RS: 99
259273916416,2207.53,155.202,156.633,6590.T,19,Technology,,4415.07,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,2207.53,['TOPIX_Small500_小型'],FWD,2026-03-02,,,5516.37,False,RS: 99
45549096960,134.24,,,CIEN,19,Technology,,268.49,,99,99,✅ RS 換倉平倉,RS: 99,2026-02-02,🅱️ RS 核心,134.24,['S&P500_大盤'],FWD,2026-03-02,,,353.73,False,RS: 99
3109790976,134.13,,,TMDX,1,Healthcare,3,145.26,167.52,,,❌ STOP LOSS,,2026-02-27,🏆 VCP 突破,134.13,['S&P600_小型'],FWD,2026-02-27,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 59.4, 'rv_pct': 0.075, 'bd_pct': 0.016}",,134.13,False,
3109790976,134.13,,,TMDX,1,Healthcare,3,145.26,167.52,,,❌ STOP LOSS,,2026-02-27,🏆 VCP 突破,134.13,['S&P600_小型'],FWD,2026-02-27,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 59.4, 'rv_pct': 0.075, 'bd_pct': 0.016}",,134.13,False,
55818338304,282.75,,,TER,24,Technology,2,282.75,330.22,,,✅ TRAIL EXIT,RS: 98,2026-02-03,⚡ 缺口動能,259.02,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-02-27,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 78.3, 'rv_pct': 0.651, 'bd_pct': 0.956}",353.96,314.87,True,RS: 99
0,389.56,,,AGX,15,N/A,2,421.81,486.31,,,⏱️ 時間止損 (無進展),RS: 98,2026-02-11,🏆 VCP 突破,389.56,['S&P600_小型'],FWD,2026-02-26,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 60.6, 'rv_pct': 0.24, 'bd_pct': 0.274}",,451.79,False,
20913930240,512.79,,,UTHR,1,Healthcare,3,535.1,579.72,,,❌ STOP LOSS,,2026-02-25,🏆 VCP 突破,512.79,['S&P400_中型'],FWD,2026-02-26,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 74.5, 'rv_pct': 0.004, 'bd_pct': 0.075}",,512.79,False,
332662865920,10551.3,157.244,154.635,6507.T,15,Industrials,2,11265.81,12694.83,,,⏱️ 時間止損 (無進展),RS: 85,2026-02-09,💥 BB 擠壓,10551.3,['TOPIX_Small500_小型'],FWD,2026-02-24,"{'mss': True, 'smc': False, 'amd': True, 'ml_rsi': 57.3, 'rv_pct': 0.349, 'bd_pct': 0.433}",,11966.22,False,
390761480192,1960.92,156.132,154.635,1893.T,14,Industrials,2,2074.32,2301.12,,,❌ STOP LOSS,RS: 97,2026-02-10,⚡ 缺口動能,1960.92,['TOPIX_Mid400_中型'],FWD,2026-02-24,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 84.5, 'rv_pct': 0.976, 'bd_pct': 0.857}",2414.51,1960.92,False,RS: 98
